3	0.00525362
10	0.00288611
1	0.00907704
2	0.00635355
3	0.00525348
4	0.00451583
5	0.00410427
6	0.00364988
7	0.00343005
8	0.00330751
9	0.00299696
10	0.0029709
11	0.00273775
12	0.002685
13	0.0024627
14	0.00238032
15	0.0023867
16	0.00230758
17	0.00221761
18	0.00212887
19	0.00206376
20	0.00207973
21	0.00207239
22	0.00191963
23	0.00194335
24	0.00186071
25	0.00181156
26	0.00174618
27	0.00168943
28	0.00173387
29	0.00169082
30	0.00159858
31	0.00161943
32	0.00160982
33	0.00161082
34	0.00154351
35	0.00145228
36	0.00151255
37	0.00150118
38	0.00150827
39	0.00144552
40	0.00140857
41	0.00145753
42	0.00137017
43	0.00132142
44	0.00134033
45	0.00132847
46	0.00139849
47	0.00132052
48	0.00130409
49	0.00132918
50	0.00127704
