#N	y
1	0.0082405
2	0.00703183
3	0.00582316
4	0.00476292
5	0.00416176
6	0.0037797
7	0.0034995
8	0.00326964
9	0.00308242
10	0.00292423
11	0.00277702
12	0.00266257
13	0.00256781
14	0.00247047
15	0.00239532
16	0.00232662
17	0.00223972
18	0.00216788
19	0.00210429
20	0.00204133
21	0.00199729
22	0.00197293
23	0.00192484
24	0.00187391
25	0.00181877
26	0.00178481
27	0.00172738
28	0.00169048
29	0.00165691
30	0.00165175
31	0.00161685
32	0.00161294
33	0.00158599
34	0.00157794
35	0.00153798
36	0.00151368
37	0.00149187
38	0.00147927
39	0.00145918
40	0.0014585
41	0.00145382
42	0.00142991
43	0.00142798
44	0.00140721
45	0.00139253
46	0.00137346
47	0.00135539
48	0.00131969
49	0.00128521
50	0.00125074


