#N	y
1	0.00905787
2	0.0064793
3	0.0051017
4	0.00441653
5	0.004032
6	0.00373989
7	0.00346608
8	0.00321586
9	0.00302491
10	0.002904
11	0.00280315
12	0.00265616
13	0.00251182
14	0.00244167
15	0.00240611
16	0.00235397
17	0.00226686
18	0.00213967
19	0.00204916
20	0.00203008
21	0.00202457
22	0.00197069
23	0.00193089
24	0.00188088
25	0.00182671
26	0.0017489
27	0.00173647
28	0.0016931
29	0.00165794
30	0.00159786
31	0.00163484
32	0.00162405
33	0.00161873
34	0.00154809
35	0.00154399
36	0.00151268
37	0.00149244
38	0.00146267
39	0.0014576
40	0.00145229
41	0.00145247
42	0.00146396
43	0.00141859
44	0.00139741
45	0.00137931
46	0.00139195
47	0.00136858
48	0.00134035
49	0.00126832
50	0.00124369


